Zeitstempel,Was ist dein Geschlecht? ,Zu Welcher Altersgruppe gehörst du?,Studierst du aktuell? ,Was ist deine aktuelle Wohnsituation?,Hast du Kinder?,Erwerbsstatus,"Falls du noch Studierst, dein aktueller Studiumstatus",Wohnort,Wie oft reist du pro Jahr? ,Sparst du aktiv für eine Reise?,Was motiviert dich zum Reisen?,Reist du lieber alleine oder in einer Gruppe?,"Was ist ein wichtiges Kriterium für dich, ein Land zu bereisen?",Wie planst du deine Reise?,Welche Art von Unterkunft bevorzugst du auf Reisen?,Welche Art von Transportmittel bevorzugst du auf Reisen?,Welche Art von Aktivitäten unternimmst du am meisten auf Reisen?,Gibt es Orte die du regelmässig auf Reisen wieder besuchst?,"Wie wichtig ist dir, in Kontakt mit Einheimischen zu treten?","Wie wichtig ist es dir, die Sprache des Reiselandes zu sprechen?",Suchst du aktiv nach Kontakt mit Einheimischen?,"Bist du ein digitaler Nomade oder hast du jemals darüber nachgedacht, einer zu werden?",Könntest du dir vorstellen in Zukunft ein digitaler Nomade zu werden? ,Wie gross ist dein jährliches Reisebudget?
2023-05-08 20:54:36.133,M,26 - 35,Ja,Einzeln,Nein,Arbeitslos,Vollzeit,Vorort,Einmal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Familie / Freunde besuchen, Flucht / Abstand",Freunde,Jahreszeit (bsp. Reise nach Australien im Winter),Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Hotel (1-2 Sterne), Hostels, Ferienwohnung oder Häuser, Camping oder Wohnmobil","Flugzeug, Auto","Besichtigung von Sehenswürdigkeiten, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,3,4,4,Nein,2,500-2000 CHF
2023-05-08 21:02:06.249,M,26 - 35,Ja,Einzeln,Nein,Teilzeit,Vollzeit,Stadt,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Bildung / Persönliche Entwicklung",Partner/Partnerin,Natur,Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Hotel (1-2 Sterne), Ferienwohnung oder Häuser, AirBnb","Flugzeug, Auto, Zug","Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,4,4,3,Ja,4,2000-5000 CHF
2023-05-08 21:09:33.858,M,26 - 35,Ja,WG,Nein,Teilzeit,Berufsbegleitend,Stadt,Fünf- oder mehr,Nein,"Neugier / Entdeckungslust, Entspannung, Bildung / Persönliche Entwicklung",Partner/Partnerin,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Event (Karneval in Rio, New York City Marathon, etc.), Sympathie",Ich plane und buche alles selbst,"Hotel (1-2 Sterne), Hostels, AirBnb",Zug,"Besichtigung von Sehenswürdigkeiten, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,4,2,3,Ja,2,2000-5000 CHF
2023-05-08 21:09:51.668,M,18 - 25,Ja,Wohne bei den Eltern,Nein,Arbeitslos,Vollzeit,Vorort,Einmal,Nein,Entspannung,Partner/Partnerin,Sicherheit (Die eigene Sicherheit ist gewährleistet),Ich plane und buche alles selbst,"Luxushotel / Resort (5 Sterne), Mittelklassehotels (3-4 Sterne), Ferienwohnung oder Häuser, AirBnb","Flugzeug, Zug, Bus","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,1,1,3,Nein,1,2000-5000 CHF
2023-05-08 21:15:41.655,W,26 - 35,Ja,Mit der jetzigen Familie/Partner,Nein,Teilzeit,Berufsbegleitend,Stadt,Fünf- oder mehr,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Bildung / Persönliche Entwicklung, Familie / Freunde besuchen, Flucht / Abstand",Partner/Partnerin,"gute ÖV Verbindungen, abwechslungsreiche Landschaft, Aktivität im Freien möglich","Meistens plane ich alles selbst, selten habe ich aber auch schon eine Pauschalreise gebucht","Ferienwohnung oder Häuser, AirBnb",Zug,"Besichtigung von Sehenswürdigkeiten, Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,2,4,2,Nein,1,2000-5000 CHF
2023-05-08 21:17:16.062,W,26 - 35,Ja,WG,Nein,Arbeitslos,Vollzeit,Stadt,Zweimal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Mit Leuten unterwegs sein",Freunde,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter)",Ich plane und buche alles selbst,"Hostels, AirBnb",Zug,"Besichtigung von Sehenswürdigkeiten, Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,2,3,2,Nein,2,2000-5000 CHF
2023-05-08 21:45:59.714,M,18 - 25,Ja,Wohne bei den Eltern,Nein,Teilzeit,Vollzeit,Stadt,Zweimal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Familie / Freunde besuchen",Familie/Freunden ,"Religion (Bsp. Reise nach Mekka), Ernährung (Vegetarische oder Vegane Ernährung stets möglich), Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter), Offen gegenüber neugierig Touristen ",Alleine oder zusammen mit Gruppe(Familie/Freunde) ,"Mittelklassehotels (3-4 Sterne), Hotel (1-2 Sterne), Ferienwohnung oder Häuser","Flugzeug, Auto","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,3,3,3,Nein,2,500-2000 CHF
2023-05-08 22:49:29.737,M,26 - 35,Ja,Mit der jetzigen Familie/Partner,Ja,Selbständig,Teilzeit,Stadt,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Abenteuerlust",Familie,Jahreszeit (bsp. Reise nach Australien im Winter),Ich plane und buche alles selbst,"Ferienwohnung oder Häuser, AirBnb, Camping oder Wohnmobil, Jugendherberge","Zug, Fahrrad","Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,3,3,4,Ja,4,2000-5000 CHF
2023-05-08 22:52:15.856,W,36 +,Nein,Mit der jetzigen Familie/Partner,Ja,Teilzeit,Studiere nicht,Ländliche Gegend,Zweimal,Nein,"Neugier / Entdeckungslust, Familie / Freunde besuchen",Familie,"Sehenswürdigkeiten, Natur",Ich plane und buche alles selbst,"Ferienwohnung oder Häuser, AirBnb, Camping oder Wohnmobil, Privat","Auto, Fähre oder Kreuzfahrtschiffe","Besichtigung von Sehenswürdigkeiten, Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,3,4,2,Nein,1,2000-5000 CHF
2023-05-09 07:13:39.400,W,36 +,Ja,WG,Nein,Teilzeit,Teilzeit,Ländliche Gegend,Fünf- oder mehr,Nein,"Neugier / Entdeckungslust, Entspannung, Familie / Freunde besuchen",Partner/Partnerin,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter)",Ich plane und buche alles selbst,"AirBnb, Camping oder Wohnmobil","Flugzeug, Zug, Trekking","Entspannung am Strand oder Pool, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,3,4,3,Nein,5,5000-10000 CHF
2023-05-09 07:42:02.074,M,36 +,Ja,Mit der jetzigen Familie/Partner,Nein,Teilzeit,Teilzeit,Vorort,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung",Partner/Partnerin,"Interessante Landschaften, Städte, Kulturen, Menschen",Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Hotel (1-2 Sterne), AirBnb","Flugzeug, Auto","Besichtigung von Sehenswürdigkeiten, Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,4,4,3,Nein,3,2000-5000 CHF
2023-05-09 08:50:31.084,M,18 - 25,Ja,Wohne bei den Eltern,Nein,Arbeitslos,Vollzeit,Ländliche Gegend,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Abenteuerlust",Freunde,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter), ",ich buche eine Pauschalreise,"Luxushotel / Resort (5 Sterne), AirBnb, Camping oder Wohnmobil","Flugzeug, Auto","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,3,1,3,Nein,4,2000-5000 CHF
2023-05-09 09:14:29.667,Keine Angabe,36 +,Ja,Mit der jetzigen Familie/Partner,Nein,Teilzeit,Teilzeit,Ländliche Gegend,Zweimal,Ja,Sport / Aktive Ferien,Partner/Partnerin,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter)",Ich plane und buche alles selbst,Ferienwohnung oder Häuser,"Auto, Trekking, Fahrrad","Abenteuersportarten (z.B. Wandern, Klettern, Rafting)",Ja,5,5,4,Ja,4,2000-5000 CHF
2023-05-09 09:17:02.231,M,36 +,Nein,Einzeln,Nein,Vollzeit,Studiere nicht,Stadt,Fünf- oder mehr,Nein,"Abenteuerlust, Entspannung, Bildung / Persönliche Entwicklung, Familie / Freunde besuchen",Freunde,"Religion (Bsp. Reise nach Mekka), Jahreszeit (bsp. Reise nach Australien im Winter)",Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Hostels, Jugendherberge","Flugzeug, Auto, Zug, Bus, Trekking","Besichtigung von Sehenswürdigkeiten, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte)",Ja,3,3,3,Nein,2,10000 + CHF
2023-05-09 09:48:41.706,M,26 - 35,Ja,Wohne bei den Eltern,Nein,Teilzeit,Teilzeit,Ländliche Gegend,Zweimal,Nein,"Neugier / Entdeckungslust, Entspannung, Flucht / Abstand",Freunde,"Ernährung (Vegetarische oder Vegane Ernährung stets möglich), Sicherheit (Die eigene Sicherheit ist gewährleistet)",Ich plane und buche alles selbst,"Ferienwohnung oder Häuser, Camping oder Wohnmobil","Auto, Zug, Fähre oder Kreuzfahrtschiffe","Besichtigung von Sehenswürdigkeiten, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,3,2,2,Nein,4,500-2000 CHF
2023-05-09 10:47:02.620,M,18 - 25,Ja,WG,Nein,Arbeitslos,Vollzeit,Vorort,Fünf- oder mehr,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Bildung / Persönliche Entwicklung",Familie,"Religion (Bsp. Reise nach Mekka), Sicherheit (Die eigene Sicherheit ist gewährleistet)","Ich lasse andere für mich planen und organisieren (z.B. Reiseveranstalter, Freunde oder Familie)","Ferienwohnung oder Häuser, AirBnb, Camping oder Wohnmobil","Zug, Bus, Trekking","Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,1,1,3,Nein,4,2000-5000 CHF
2023-05-09 10:52:40.208,M,36 +,Nein,Mit der jetzigen Familie/Partner,Ja,Vollzeit,Studiere nicht,Vorort,Zweimal,Nein,Entspannung,Familie,Essen,Ich plane und buche alles selbst,Mittelklassehotels (3-4 Sterne),Auto,"Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse)",Ja,3,3,3,Ja,4,5000-10000 CHF
2023-05-09 12:07:38.096,W,26 - 35,Ja,Mit der jetzigen Familie/Partner,Nein,Teilzeit,Vollzeit,Ländliche Gegend,Drei bis Viermal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung",Partner/Partnerin,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter), Event (Karneval in Rio, New York City Marathon, etc.)",Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Ferienwohnung oder Häuser","Flugzeug, Auto, Zug","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,3,1,3,Nein,2,2000-5000 CHF
2023-05-09 13:00:57.727,M,26 - 35,Ja,Einzeln,Nein,Teilzeit,Teilzeit,Stadt,Drei bis Viermal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Bildung / Persönliche Entwicklung, Familie / Freunde besuchen",Freunde,Jahreszeit (bsp. Reise nach Australien im Winter),Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Hostels, Ferienwohnung oder Häuser, AirBnb, Camping oder Wohnmobil","Flugzeug, Auto, Zug","Besichtigung von Sehenswürdigkeiten, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,5,1,3,Ja,5,500-2000 CHF
2023-05-09 14:19:17.477,M,36 +,Nein,Mit der jetzigen Familie/Partner,Ja,Teilzeit,Studiere nicht,Stadt,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Bildung / Persönliche Entwicklung, Familie / Freunde besuchen",alleine,"Persönliche Beziehungen, Dinge die ich lernen möchte",Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Hotel (1-2 Sterne), Hostels, Ferienwohnung oder Häuser, Camping oder Wohnmobil, Jugendherberge","Flugzeug, Auto, Zug, Bus, Fähre oder Kreuzfahrtschiffe, Trekking","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,5,5,5,Nein,3,2000-5000 CHF
2023-05-09 14:40:33.352,M,18 - 25,Ja,WG,Nein,Teilzeit,Teilzeit,Vorort,Fünf- oder mehr,Nein,"Neugier / Entdeckungslust, Entspannung",Freunde,Keine,Ich plane und buche alles selbst,"Hotel (1-2 Sterne), Hostels, Ferienwohnung oder Häuser, AirBnb, Jugendherberge","Flugzeug, Zug, Bus, Fähre oder Kreuzfahrtschiffe, Fahrrad","Besichtigung von Sehenswürdigkeiten, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,3,1,2,Ja,4,500-2000 CHF
2023-05-09 14:57:44.750,W,18 - 25,Ja,WG,Nein,Arbeitslos,Vollzeit,Vorort,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Entspannung",Partner/Partnerin,"Ernährung (Vegetarische oder Vegane Ernährung stets möglich), Sicherheit (Die eigene Sicherheit ist gewährleistet)",Ich plane und buche alles selbst,"Hostels, Camping oder Wohnmobil, Jugendherberge","Zug, Trekking, Fahrrad","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,3,4,3,Ja,4,0-500 CHF
2023-05-09 15:59:08.234,M,18 - 25,Ja,Wohne bei den Eltern,Nein,Arbeitslos,Vollzeit,Stadt,Zweimal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Festivals",Freunde,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter), Event (Karneval in Rio, New York City Marathon, etc.)",Ich plane und buche alles selbst,"Luxushotel / Resort (5 Sterne), AirBnb, Camping oder Wohnmobil","Flugzeug, Zug","Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte)",Nein,3,2,3,Ja,5,500-2000 CHF
2023-05-09 16:49:24.880,W,26 - 35,Ja,Mit der jetzigen Familie/Partner,Ja,Teilzeit,Berufsbegleitend,Stadt,Drei bis Viermal,Ja,"Abenteuerlust, Entspannung, Bildung / Persönliche Entwicklung",Familie,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter)",Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Ferienwohnung oder Häuser, AirBnb","Zug, Fahrrad","Entspannung am Strand oder Pool, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,5,2,4,Nein,1,500-2000 CHF
2023-05-09 17:19:50.795,M,26 - 35,Ja,Mit der jetzigen Familie/Partner,Nein,Teilzeit,Vollzeit,Ländliche Gegend,Zweimal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Bildung / Persönliche Entwicklung, Flucht / Abstand",Je nach Domizil/Reise,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter), Landschaft, Aktivitäten",Je nach Reise,"Mittelklassehotels (3-4 Sterne), Ferienwohnung oder Häuser, AirBnb, Camping oder Wohnmobil","Flugzeug, Auto, Zug, Trekking","Besichtigung von Sehenswürdigkeiten, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,4,3,3,Nein,4,2000-5000 CHF
